FECHA_CORTE,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,FECHA_REGISTRO,PRODUCTO,PRECIO_MAYORISTA,PRECIO_MINORISTA,CATEGORIA,UNIDAD_MEDIDA_MAY,UNIDAD_MEDIDA_MIN
20260406,PIURA,PIURA,PIURA,200101,20260309,Zapallo macre,1.85,3.35,Hortalizas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260309,Yuca blanca,1.87,4.65,Tuberculos,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260309,Zanahoria,2.1,3.45,Hortalizas,SACO MEDIANO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260309,Uva italia,3.58,7.6,Frutas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260309,Leche reconstituida (azul) 395 gr,3.67,4.4,Agro-industriales,CAJA,LATA
20260406,PIURA,PIURA,PIURA,200101,20260309,Platano seda congo,1.71,3.9,Frutas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260309,Frijol canario,5.53,7.75,Menestras,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260309,Carne fresca de vacuno,19.5,26.5,Carnes y huevos,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260309,Carne de pollo (eviscerado),9.65,9.9,Carnes y huevos,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260309,Aji rocoto,5.35,6.25,Hortalizas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260309,Fideos nicolini tallarin,4.65,6.8,Agro-industriales,PAQUETE,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260309,Aji escabeche,2.42,3.45,Hortalizas,KILOGRAMO,MALLA
20260406,PIURA,PIURA,PIURA,200101,20260309,Limon sutil bolsa,1.68,2.35,Frutas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260309,Choclo (tipo cusco),5.36,9.9,Cereales,CIENTO,UNIDAD
20260406,PIURA,PIURA,PIURA,200101,20260309,Aceite clasico botella 900 ml,9.04,10.6,Agro-industriales,CAJA CHICA,LITRO
20260406,PIURA,PIURA,PIURA,200101,20260309,Lenteja,5.05,8.15,Menestras,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260309,Platano bellaco,2.43,3.65,Frutas,LITRO,LITRO
20260406,PIURA,PIURA,PIURA,200101,20260309,Huevos rosados,5.65,10.85,Carnes y huevos,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260309,Leche fresca,3,5.15,Agro-industriales,LITRO,LITRO
20260406,PIURA,PIURA,PIURA,200101,20260309,Haba verde serrana,2.57,6.05,Legumbres,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260309,Garbanzo,5,9.9,Menestras,KILOGRAMO,KILOGRAMO
